object name,type,uuid,header-client-ip,comment,log-header-change,name,dstaddr,content,member
BlueJeans_InterceptDisable,dst,485a8bce-9e0c-51ed-0a4d-d0f7c718ed49,,,,,,,__CondList1BlueJeans_InterceptDisable
__CondList1Zoom.us,dst,59b4be26-9e0c-51ed-b607-334832653ea3,,,,,,,^zoom.us
Zoom.us,dst,6e399b14-9e0c-51ed-e784-129c43e492c4,,,,,,,__CondList1Zoom.us
__CondList1Webex_InterceptDisable_proxy,dst,6a562b38-9e0d-51ed-18a3-4a4c2c7147da,,,,,,,"eascb[0-9|a-z]*\\.webex\\.com"" ""ed1jp2cb[0-9|a-z]*\\.webex\\.com"" ""ed1sgcb[0-9|a-z]*\\.webex\\.com"
__CondList1OnlineMeeting_Intercept,dst,f12a1dea-9e0d-51ed-8afb-ec3eb3df1fdf,,,,,,,"meet.turns.goog"" ""relay.skype.com"" ""__CondList1Webex_InterceptDisable_proxy"" ""BlueJeans_InterceptDisable"" ""Zoom.us"
OnlineMeeting_Intercept,dst,f90e98d8-9e0d-51ed-6a07-b58195fa496d,,,,,,,__CondList1OnlineMeeting_Intercept
__CondList1CPU_LoadReduction_LIst_0104,dst,ff02ca7e-9e0e-51ed-3fac-4ea8e00d72c0,,,,,,,"api.wecandeo.com"" ""couscous.acs.wecandeo.io"" ""kbnlive-980.live.wecandeo.com"" ""lcluster.wecandeo.com"" ""live-ledge1-01.wecandeo.com"" ""play.wecandeo.com"" ""timgs.wecandeo.com"
CPU_LoadReduction_LIst_0104,dst,10eb9838-9e0f-51ed-4b9c-52fc707ac481,,,,,,,__CondList1CPU_LoadReduction_LIst_0104
__CondList1CPU_LoadReduction_List,dst,718dcbe8-9e0f-51ed-491a-c8eeded76c7b,,,,,,,"tile.gis.kt.com"" ""www.juso.go.kr"" ""map.naver.com"" ""www.gov.kr"" ""map.kakao.com"" ""www.iros.go.kr"" ""www.hometax.go.kr"" ""logger2.kma.go.kr"" ""m1.juso.go.kr"" ""CPU_LoadReduction_LIst_0104"" ""img.daumcdn.net"" ""img1.daumcdn.net"" ""img2.daumcdn.net"" ""img3.daumcdn.net"" ""img4.daumcdn.net"" ""map0.daumcdn.net"" ""map1.daumcdn.net"" ""map2.daumcdn.net"" ""map3.daumcdn.net"" ""polling.finance.naver.com"" ""img.ezwelfare.net"" ""img-s-msn-com.akamaized.net"" ""image.bobaedream.co.kr"" ""safebrowsing.googleapis.com"" ""thumb.zumst.com"" ""shop1.daumcdn.net"" ""shop2.daumcdn.net"" ""shop3.daumcdn.net"" ""shop4.daumcdn.net"" ""siape.veta.naver.com"" ""s.pstatic.net"" ""assets.msn.com"" ""liu.lge.com"" ""www.google.com"" ""www.youtube.com"" ""pstatic.net"" ""www.naver.com"
CPU_LoadReduction_List,dst,9b88c272-9e0f-51ed-cd7e-e72797592363,,,,,,,__CondList1CPU_LoadReduction_List
__CondList1TEAMS_Intercept_Disable,dst,c18098aa-9e10-51ed-501e-8245f5ede3d3,,,,,,,"presence.teams.microsoft.com"" ""settings-win.data.microsoft.com"" ""teams.events.data.microsoft.com"" ""iecvlist.microsoft.com"" ""notifications.teams.microsoft.com"" ""end-vc.prd.bmc.cdn.office.net"" ""dmd.metaservices.microsoft.com"" ""statics.teams.cdn.office.net"" ""config.teams.microsoft.com"" ""mobile.pipe.aria.microsoft.com"" ""nexus.officeapps.live.com"" ""nexusrules.officeapps.live.com"" ""ic3.events.data.microsoft.com"" ""api.userstore.skype.com"" ""displaycatalog.mp.microsoft.com"" ""ocsp.digicert.com"" ""web.vortex.data.microsoft.com"" ""pipe.skype.com"" ""lpcres.delve.office.com"
TEAMS_Intercept_Disable,dst,f6bf70cc-9e10-51ed-1a96-ce2ec2a9b931,,,,,,,__CondList1TEAMS_Intercept_Disable
__CondList1CRM22101985240_List,dst,afabb7a0-9e14-51ed-47f7-68827eb15ace,,,,,,,"github.com"" ""githubusercontent.com"" ""docker.io"" ""quay.io"" ""docker.com"
CRM22101985240_List,dst,00ba0110-9e15-51ed-d866-5f73aac2719f,,,,,,,__CondList1CRM22101985240_List
__CondList1CRM23010308321_List,dst,da9faf10-9e15-51ed-56f8-a0855cfce62c,,,,,,,"k8s.gcr.io"" ""mirrors.fedoraproject.org"" ""packages.cloud.google.com"" ""projectcalico.docs.tigera.io"" ""docs.projectcalico.org"" ""raw.githubusercontent.com"" ""CRM22101985240_List"
CRM23010308321_List,dst,27c36dea-9e16-51ed-a422-94331bdeba96,,,,,,,__CondList1CRM23010308321_List
__CondList1CRM22120300005_List_proxy,dst,50b33cde-9e17-51ed-4013-48827e9c2f5f,,,,,,,pscktmmobile.com
__CondList1CRM22122105134_List,dst,353d7918-9e19-51ed-663b-449ccec94bd4,,,,,,,"delivery.europe-test.avride.ai"" ""delivery.europe.avride.ai"
CRM22122105134_List,dst,3ece01aa-9e19-51ed-c76c-e8624837147d,,,,,,,__CondList1CRM22122105134_List
__CondList1remote113366,dst,88d1df4e-9e2b-51ed-21dc-66fa37142717,,category 추가필요,,,,,"113366.com"" ""startsupport.com"
remote113366,dst,9210aab8-9e2b-51ed-2a80-92a001be586f,,,,,,,__CondList1remote113366
__CondList1KTIS_Remote_proxy,dst,2f04d6aa-9e2c-51ed-bfde-618ea28612ad,,,,,,,"822.co.kr"" ""anysupport.net"" ""as82.kr"" ""startsupport.com"" ""remote113366"
__CondList1AppStore,dst,a4652ac6-9e2c-51ed-8a7e-7e94e8c052b4,,,,,,,"itunes.com"" ""mzstatic.com"" ""swscan2.apple.com"" ""securemetrics.apple.com"" ""swcdn.apple.com"" ""swdownload.apple.com"" ""swquery.apple.com"" ""guzzoni.apple.com"" ""apple.com"
AppStore,dst,daff7dd4-9e2c-51ed-c3e1-1ab47538d18e,,,,,,,__CondList1AppStore
__CondList1Development_Tool_proxy,dst,ebf8818a-9e2c-51ed-a303-c9bdc6c5dbc5,,,,,,,"docs.gradle.org"" ""repo.maven.apache.org"" ""repo.spring.io"" ""bintray.com"" ""jitpack.io"" ""gis.kt.com"" ""android.com"" ""maven.fabric.io"" ""idmsa.apple.com"" ""zeplin.io"" ""crashlytics.com"" ""googleapis2.com"" ""dl.google.com"" ""AppStore"" ""slack.com"" ""amazonaws.com"" ""icloud.com"" ""hockeyapp.net"" ""mtalk.google.com"" ""launchdarkly.com"" ""invisionbeta.com"" ""loggly.com"" ""mixpanel.com"
__CondList1commerce_dst_proxy,dst,db5f0c3a-9e2d-51ed-e0b7-51f45102d694,,,,,,,"atos.co.kr"" ""doortodoor.co.kr"" ""wooribank.com"" ""startsupport.com"
__CondList1KT_Powertel_dst,dst,eeb158e6-9e2e-51ed-0e6d-6a459f7c839e,,,,,,,"113366.com"" ""d2h67oheeuigaw.cloudfront.net"" ""rsupport.com"" ""startsupport.com"
KT_Powertel_dst,dst,f65b1c80-9e2e-51ed-8a5f-5b9c02eb1b2a,,,,,,,__CondList1KT_Powertel_dst
__CondList1Mail_Write_Deny,dst,fefad554-a05b-51ed-7cb1-046673032e94,,,,,,,"r-smtp3.korea.com"" ""r-smtp4.korea.com"" ""r-smtp5.korea.com"" ""r-smtp6.korea.com"" ""ns19.xincache.com"" ""ns20.xincache.com"" ""mx01.263xmail.com"
Mail_Write_Deny,dst,2619742e-a05c-51ed-69be-ece8d9270050,,,,,,,__CondList1Mail_Write_Deny
__CondList1Naver_Mail_Deny,dst,3005d9cc-a05d-51ed-3677-03ca7c0cbd48,,,,,,,"mail.naver.com/json/write/save/"" ""naver-mail-send"" ""naver_mail_save"
Naver_Mail_Deny,dst,3905aee4-a05d-51ed-b8bb-aec386d05fa8,,,,,,,__CondList1Naver_Mail_Deny
__CondList1Nate_Mail_Deny,dst,8d5b50ac-a05d-51ed-3b51-a9ce5dcc09aa,,,,,,,"nate/app/newmail/send/autosave/"" ""nate/app/newmail/send/send/"
Nate_Mail_Deny,dst,9597406e-a05d-51ed-4ba0-92c87e962ff2,,,,,,,__CondList1Nate_Mail_Deny
__CondList1GoogleCalendar_Mail_Deny,dst,971a971e-a05e-51ed-fb34-0bc3cd273bf9,,,,,,,"calendar.google.com/calendar/email"" ""calendar/u/0/email"
GoogleCalendar_Mail_Deny,dst,9fb1aae8-a05e-51ed-4296-0e504f1b342d,,,,,,,__CondList1GoogleCalendar_Mail_Deny
__CondList1Daum_Mail_Deny,dst,dc60e5d0-a05e-51ed-602d-0a07356279c1,,,,,,,"cmail.daum.net/v2/mails/autoSave"" ""cmail.daum.net/v2/mails/draft"" ""cmail.daum.net/v2/mails/saveToMe"" ""cmail.daum.net/v2/mails/send"
Daum_Mail_Deny,dst,e41f1af8-a05e-51ed-ebb6-0bc9e50644d1,,,,,,,__CondList1Daum_Mail_Deny
__CondList1Mail_Regex,dst,bb065382-a060-51ed-f6b0-ca4c241149b1,,,,,,,"/json/write/"" ""/pv/sendresult.jsp"" ""/pv/write.jsp"" ""/write/prePopup/"
Mail_Regex,dst,c1fd6d42-a060-51ed-16a4-ad969f57889d,,,,,,,__CondList1Mail_Regex
__CondList1Google_Drive,dst,76118772-a085-51ed-092e-408df1936721,,,,,,,"accounts.google.com"" ""clients6.google.com"" ""drive.google.com"" ""ssl.gstatic.com"" ""www.google.com"" ""drive_google"" ""googleusercontent.com"
Google_Drive,dst,7f11c6de-a085-51ed-8dc5-af8706fb0d32,,,,,,,__CondList1Google_Drive
__CondList1Google_Docs_Drive,dst,93370b88-a085-51ed-625b-8daaf0f7699f,,,,,,,"docs.google.com"" ""Google_Drive"
Google_Docs_Drive,dst,a3c330a8-a085-51ed-ccfb-450ec35243cf,,,,,,,"Google_Docs"" ""New_Google_Drive"
__CondList1WhoWho_AllowList,dst,03540f56-a086-51ed-1f89-6bfbec467d01,,,,,,,"biz.giftishow.com"" ""KT-admin.recruiter.co.kr"" ""gigagenie.ai"" ""groupmail.kt.com"" ""ipayview.com"" ""itsm.ktds.co.kr"" ""kt.com"" ""maillink.co.kr"" ""partner.kt.com"" ""paycentero.com"" ""pcyber.samsunglife.com"" ""phishingme.kt.co.kr"" ""synovation.kt.com"" ""tangunsoft.com"" ""launchdarkly.com"" ""invisionbeta.com"" ""loggly.com"
WhoWho_AllowList,dst,2eb44c74-a086-51ed-089c-7ef8df7a9601,,,,,,,__CondList1WhoWho_AllowList
__CondList1CRM22072253405_List,dst,9acd087a-a08a-51ed-7fbf-459be104ba8c,,,,,,,"analytics-.sendsafely.com"" ""static-iceye.sendsafely.com"
CRM22072253405_List,dst,a8b6a3a6-a08a-51ed-6710-5add8e15160c,,,,,,,__CondList1CRM22072253405_List
__CondList1Google_Docs,dst,69908ca8-a096-51ed-5c7e-5153c1bb33e4,,,,,,,"clients6.google.com"" ""docs.google.com"" ""www.google.com"
Google_Docs,dst,78c7ff3a-a096-51ed-2694-c1d443971dd1,,,,,,,__CondList1Google_Docs
__CondList1Skype_List,dst,1ab40bf2-a09e-51ed-e237-90e67d576bed,,,,,,,"client-s.messenger.live.com"" ""live2.com"" ""skype.com"
Skype_List,dst,2906514c-a09e-51ed-5ed7-4820d023e9c3,,,,,,,__CondList1Skype_List
__CondList1CRM19061953261_proxy,dst,376007e8-a0a7-51ed-e904-6b9fe8a2f851,,,,,,,linkedin.com
__CondList1CRM19060448730_DST_proxy,dst,d030d554-a112-51ed-761d-a98b9cab38fb,,,,,,,siteimproveanalytics.com
__CondList1CRM21010739312_List_proxy,dst,bf73d0b2-a113-51ed-25f5-591d46db0347,,,,,,,"ktsat.com"" ""ktsat.net"
__CondList1CRM21010739235_List_proxy,dst,2e9c0ac2-a114-51ed-2066-6b9075201457,,,,,,,monday.com
__CondList1CRM21060995269_List_proxy,dst,a3454eba-a11e-51ed-54cc-30bd041fbf6e,,,,,,,"chatroll.com"" ""skdna2021.com"
